id,anon_user_id,sentence_id,finished
134,3454205405,100,False
135,3768488212,127,False
136,2159614674,140,False
137,963546574,72,False
141,2152106930,148,False
138,4059470137,115,False
139,225371909,98,False
142,3487037817,149,False
168,2343055799,104,False
169,2343055799,91,False
170,3351225820,76,False
171,1003196749,71,False
172,3110303383,152,False
173,2930702213,60,False
175,2860816562,121,False
176,2343055799,179,False
178,225371909,70,False
165,1148476491,82,True
183,3195943669,171,False
187,2343055799,65,False
188,3351225820,141,False
189,3487037817,63,False
174,751799101,87,True
181,1148476491,103,True
166,1784734157,142,True
193,751799101,85,False
194,2343055799,66,False
195,3487037817,92,False
196,1784734157,174,False
177,3768488212,71,True
180,1908618680,108,True
184,3454205405,172,True
201,1991666222,92,False
182,1691855493,159,True
190,3768488212,135,True
186,1003196749,154,True
204,1003196749,54,False
205,3638179074,122,False
185,963546574,107,True
200,1908618680,89,True
207,2051593778,146,False
198,3768488212,171,True
192,1392187083,149,True
191,3110303383,134,True
164,3971754324,130,True
199,3768488212,165,True
212,3971754324,72,False
202,3454205405,168,True
215,3040576478,123,False
217,2343055799,116,False
197,531447005,65,True
206,963546574,176,True
179,2995230612,163,True
209,3110303383,83,True
210,1392187083,169,True
213,3768488212,57,True
223,15465136,131,False
211,4209588814,123,True
229,540185771,50,False
216,4071551238,153,True
220,2995230612,83,True
231,2995230612,86,False
227,3121086224,115,True
233,2343055799,106,False
226,4280582339,126,True
208,2972344441,167,True
235,2972344441,173,False
218,531447005,97,True
222,3768488212,90,True
224,877241872,86,True
219,1446378888,58,True
221,1392187083,139,True
228,4209588814,75,True
230,4071551238,78,True
242,2897279551,67,False
225,2152106930,104,True
243,3768488212,145,False
247,2972344441,109,False
203,1691855493,148,True
240,4071551238,154,True
241,540185771,144,True
234,4280582339,95,True
239,1446378888,98,True
244,2152106930,51,True
249,531447005,59,True
167,428936998,122,True
232,3121086224,172,True
245,3768488212,154,True
237,192133059,109,True
248,2987911697,103,True
246,3121086224,62,True
236,531447005,135,True
238,877241872,67,True
251,877241872,104,False
110,3682110512,169,True
253,540185771,64,True
255,3351225820,154,True
254,4280582339,84,True
259,2343055799,64,False
260,2343055799,150,False
262,3353515871,164,False
264,3768488212,132,False
250,1746438623,121,True
214,3971754324,171,True
266,3971754324,162,False
252,192133059,121,True
268,2897279551,127,False
257,3682110512,168,True
265,1746438623,91,True
271,531447005,48,False
272,531447005,119,False
263,889311512,69,True
273,889311512,159,False
256,2608442,114,True
258,3351225820,62,True
270,1746438623,152,True
261,1446378888,175,True
269,2152106930,128,True
276,2152106930,124,False
267,3121086224,134,True
275,3351225820,151,True
280,4180629195,86,False
274,2608442,121,True
277,3351225820,69,True
281,4206481657,111,False
278,3121086224,74,True
279,889311512,133,True
283,889311512,156,False
284,3121086224,100,False
286,616914714,144,True
282,981643637,78,True
287,616914714,147,True
288,981643637,167,False
289,616914714,77,False
285,1948080790,153,True
290,1948080790,46,False
292,3768488212,115,False
293,1603054074,80,True
295,1603054074,173,False
294,3768488212,81,True
297,3768488212,109,False
298,1603054074,177,False
291,248588037,106,True
300,3768488212,121,True
296,123990799,151,True
302,248588037,96,True
304,248588037,130,False
299,546342327,111,True
303,123990799,160,True
305,546342327,104,True
308,546342327,119,False
306,123990799,127,True
301,3638179074,174,True
312,1003196749,180,False
314,1330002367,93,False
309,3638179074,65,True
307,1220165457,82,True
316,1392187083,52,False
317,1220165457,109,False
315,3638179074,134,True
318,1220165457,166,True
321,1220165457,172,False
313,1334495106,180,True
319,2351651485,124,True
310,3002293990,177,True
311,2531209764,110,True
320,2035007524,172,True
324,2351651485,77,True
327,2035007524,61,True
331,2343055799,175,False
326,2531209764,91,True
322,1220165457,162,True
328,981643637,72,False
323,1334495106,103,True
329,1334495106,178,True
330,2351651485,117,True
333,1378943560,139,False
325,3002293990,48,True
335,2991552398,123,False
332,566169758,107,True
334,3002293990,128,True
340,2343055799,85,False
336,3195943669,57,True
341,3195943669,109,False
338,566169758,89,True
342,566169758,147,True
339,4052830144,67,True
348,4052830144,60,False
344,2919120854,155,True
347,566169758,123,True
337,2991552398,150,True
351,1972191143,97,False
345,2427808644,89,True
349,2919120854,169,True
350,2991552398,136,True
346,1197515586,99,True
355,4052830144,167,False
343,2116405573,134,True
352,566169758,104,True
354,1197515586,91,True
353,2427808644,66,True
358,566169758,90,True
359,2427808644,99,True
357,1197515586,55,True
356,2116405573,84,True
360,2116405573,123,True
361,2116405573,72,True
362,3768488212,73,True
364,1461691796,83,True
365,3768488212,94,True
367,3768488212,64,False
368,3768488212,83,False
366,1461691796,130,True
370,2799495219,152,False
369,1461691796,90,True
363,1220165457,164,True
373,3929717295,53,False
372,3768488212,67,True
374,3768488212,119,False
375,3768488212,155,True
376,3768488212,102,False
371,61915147,129,True
377,61915147,176,True
379,3768488212,142,True
378,61915147,116,True
384,61915147,94,False
385,3768488212,58,False
383,959777287,117,True
386,959777287,55,True
382,210074570,179,True
387,959777287,138,False
390,2544812542,137,False
389,476249214,158,True
392,2544812542,124,False
391,476249214,180,True
388,210074570,133,True
393,2544812542,56,True
381,3768488212,98,True
394,476249214,175,True
396,2544812542,106,True
395,210074570,62,True
398,1948080790,115,False
397,3768488212,181,True
399,225371909,64,True
400,225371909,99,True
401,225371909,54,True
402,225371909,57,True
403,225371909,81,True
404,225371909,153,True
406,1879960259,48,True
407,1879960259,51,True
408,2846277224,105,False
409,3768488212,84,False
410,3220808256,153,True
413,3929717295,117,False
380,428936998,165,True
411,3220808256,160,True
412,3220808256,121,True
420,2492263460,103,True
414,1699259141,118,False
415,2263150916,175,True
416,1775810741,54,False
419,1775810741,115,False
417,1775810741,61,False
418,1775810741,88,False
426,525098441,147,False
423,3817315424,132,True
421,3621202974,127,True
427,3768488212,180,False
428,2263150916,164,False
429,3768488212,53,False
430,3915654652,109,False
422,3621202974,47,True
432,3621202974,122,False
424,2492263460,94,True
431,3915654652,169,True
425,3768488212,111,True
436,3915654652,146,True
433,2263150916,137,True
434,3817315424,78,True
438,3915654652,98,True
437,3768488212,123,True
435,2492263460,46,True
439,2263150916,74,True
441,1745251813,76,False
440,3768488212,97,True
442,3768488212,108,True
443,3015762218,117,False
444,2864454668,58,False
445,2864454668,104,True
446,3234804394,116,True
447,2864454668,180,True
450,2864454668,65,False
451,1699259141,123,False
448,3234804394,84,True
449,2864454668,114,True
453,2864454668,71,False
454,2864454668,50,False
455,2864454668,133,False
456,2864454668,61,False
457,2864454668,113,False
458,2864454668,123,False
459,2864454668,144,False
460,2864454668,142,False
452,3234804394,121,True
461,2864454668,64,True
462,3234804394,96,True
463,1003196749,90,False
464,205508395,115,True
466,205508395,123,True
467,205508395,117,True
468,2972344441,156,False
469,3234804394,163,True
470,3234804394,87,True
471,1003196749,78,False
472,3234804394,112,True
473,3234804394,130,True
405,225371909,49,True
474,225371909,111,True
475,2419512063,118,False
476,2419512063,73,True
477,2464677760,150,True
479,2464677760,70,True
478,2419512063,164,True
480,3768488212,160,True
481,3768488212,76,False
482,3768488212,122,True
483,3768488212,162,False
484,3568598520,68,True
486,3568598520,141,True
489,2930702213,46,False
487,3067672274,83,True
488,634833168,103,True
465,272347145,115,True
491,634833168,173,False
493,3067672274,78,False
485,3768488212,86,True
490,3067672274,86,True
494,3067672274,147,True
492,272347145,153,True
495,272347145,88,False
496,3768488212,144,True
497,3768488212,174,False
499,2972344441,83,True
500,3768488212,112,True
498,2263150916,51,True
501,1092967218,93,True
502,1092967218,142,True
503,1092967218,157,False
504,1092967218,46,False
507,225371909,90,True
509,3067672274,132,True
520,2806675022,99,True
531,3768488212,52,False
505,225371909,50,True
506,225371909,46,True
508,225371909,154,True
510,3067672274,117,True
512,4269703963,56,True
514,4269703963,64,True
518,2806675022,181,True
519,2806675022,172,True
522,2806675022,150,True
524,3768488212,54,False
525,3768488212,166,True
527,3768488212,56,False
528,2372957275,63,True
513,4269703963,145,True
511,326119018,139,True
515,326119018,135,True
516,326119018,108,True
521,2806675022,158,True
526,3768488212,47,False
533,3768488212,82,False
534,3575420112,65,True
517,4269703963,176,False
532,428936998,159,False
523,2806675022,113,True
529,2372957275,119,True
530,2372957275,116,False
535,3575420112,143,True
536,495757410,76,True
538,186757282,92,True
539,186757282,133,True
540,495757410,62,True
537,3575420112,167,True
541,55830287,125,False
542,2372957275,178,True
543,2372957275,173,True
545,2372957275,50,True
544,3067672274,149,True
547,3768488212,62,False
549,3768488212,79,False
546,2372957275,46,True
552,2372957275,130,False
548,1991666222,50,True
553,1991666222,102,False
554,1991666222,169,False
555,1991666222,124,False
556,1991666222,172,False
551,1622413045,135,True
550,3768488212,61,True
558,1622413045,120,True
559,290495289,114,True
560,3768488212,138,True
562,3768488212,173,False
561,290495289,72,True
563,290495289,175,True
557,1991666222,72,True
564,3768488212,48,False
565,722856006,152,True
566,3768488212,91,True
567,722856006,157,True
568,722856006,48,False
569,1092967218,151,True
570,2267106550,168,True
571,2267106550,106,True
572,2267106550,47,False
573,2267106550,141,False
574,2735080254,65,True
576,225371909,135,True
575,2735080254,80,True
577,2735080254,150,False
579,3932781443,152,False
578,3932781443,100,True
580,3932781443,120,True
581,1746414742,86,True
582,1746414742,98,False
583,1746414742,58,True
584,3768488212,141,False
585,3929717295,82,True
586,3929717295,93,True
587,3929717295,56,True
588,3929717295,155,True
590,3768488212,85,True
589,2248012646,101,True
591,3768488212,149,True
594,3768488212,177,False
593,3768488212,148,True
595,3768488212,143,True
596,3768488212,178,True
598,2293850146,53,False
600,2293850146,143,False
597,3768488212,147,True
599,3768488212,129,True
602,3768488212,70,True
601,3768488212,74,True
603,3768488212,169,False
604,3768488212,137,False
605,3768488212,172,False
606,3768488212,69,False
607,3768488212,170,False
608,3768488212,126,False
609,3768488212,116,False
610,543760950,173,True
613,1810768316,167,False
612,543760950,139,True
615,2248012646,56,False
614,1810768316,60,True
618,1810768316,59,True
592,2248012646,115,True
622,3768488212,140,True
616,543760950,104,True
619,2293850146,83,False
620,1810768316,123,False
621,543760950,131,True
617,3768488212,153,True
623,3768488212,93,True
627,3768488212,103,True
628,2293850146,179,False
624,4180629195,141,True
626,3768488212,179,True
625,4180629195,70,False
611,3768488212,105,True
629,1003196749,102,False
630,2293850146,121,False
631,1003196749,69,False
632,1003196749,76,True
633,1003196749,169,False
634,1003196749,48,True
635,2169620666,153,True
636,2169620666,170,True
637,2169620666,86,True
638,3469097351,126,True
640,3469097351,180,True
639,3058289255,180,True
641,3469097351,113,True
642,3058289255,165,True
644,225371909,60,False
643,3058289255,116,True
645,3058289255,123,False
646,548040338,125,True
647,548040338,49,True
648,548040338,181,True
649,3768488212,77,False
650,3768488212,163,False
651,3768488212,107,False
652,3768488212,106,False
653,3768488212,55,False
654,3768488212,157,False
655,3768488212,167,False
656,3768488212,50,False
657,3768488212,176,False
658,3768488212,89,False
659,3768488212,66,False
660,3768488212,146,False
661,3768488212,133,False
662,3768488212,118,False
663,3768488212,113,False
664,2343055799,155,True
665,2343055799,156,True
666,2343055799,68,True
667,2343055799,108,False
668,61915147,152,False
669,61915147,161,False
670,1699259141,112,False
671,1699259141,88,False
672,1003196749,53,True
673,1003196749,87,True
674,1699259141,72,False
675,3768488212,114,True
676,3768488212,130,True
677,1699259141,120,False
678,1699259141,47,False
679,1699259141,169,False
680,1699259141,49,False
681,1699259141,107,False
682,1699259141,60,False
683,3309555457,164,False
684,3309555457,127,False
685,1749679733,62,False
686,1749679733,152,False
687,1749679733,76,False
688,3768488212,75,True
689,3768488212,59,False
690,3768488212,51,True
691,3768488212,49,True
692,3768488212,80,True
693,3768488212,128,True
694,3768488212,151,False
695,225371909,58,False
696,1699259141,111,False
697,55830287,145,True
698,55830287,99,True
699,55830287,88,False
700,1699259141,164,False
701,210074570,102,False
702,1699259141,62,True
704,2343055799,58,False
703,1699259141,97,True
705,1699259141,181,True
706,1699259141,52,True
707,1699259141,64,False
708,3068278089,98,True
709,3068278089,65,True
710,1003196749,171,False
711,1003196749,113,True
712,1003196749,166,True
713,1003196749,131,False
714,1003196749,124,False
716,1003196749,103,True
717,1003196749,100,True
718,1003196749,73,True
719,3768488212,65,True
722,4003561562,59,True
724,4003561562,135,True
725,4003561562,76,True
726,4003561562,61,True
723,2263150916,151,True
728,2263150916,177,True
731,2893537793,59,False
738,3110303383,50,True
715,1003196749,75,True
720,3768488212,159,False
721,4003561562,170,True
727,2343055799,113,False
733,3636291149,119,False
735,701009728,153,False
730,3618952834,110,True
736,3351225820,116,True
729,3618952834,72,True
734,3067672274,172,True
732,4180629195,126,True
737,3110938080,142,False
740,15465136,121,False
741,2372957275,128,False
746,2739558982,142,False
748,2343055799,92,False
749,959777287,119,False
752,3110938080,179,False
754,2995230612,132,False
755,3618952834,147,False
756,3110303383,127,False
757,3002293990,73,False
761,1857155595,56,False
747,2991552398,119,True
762,2991552398,97,False
765,2631704405,147,False
745,293931722,148,True
750,3645271207,63,True
751,2169620666,101,True
739,1117834655,66,True
743,2807941410,126,True
768,1117834655,141,False
758,3067672274,134,True
759,3351225820,110,True
766,293931722,103,True
771,293931722,119,False
760,2887013490,66,True
764,2631704405,64,True
753,1667429850,95,True
742,313187226,55,True
770,2807941410,123,True
769,1857155595,88,True
777,3110303383,164,False
744,1603886163,137,True
774,1667429850,130,True
781,1092967218,92,False
782,1667429850,151,False
767,3645271207,152,True
773,2887013490,143,True
772,2631704405,112,True
780,1092967218,90,True
783,3645271207,160,True
776,2807941410,52,True
779,1603886163,141,True
775,313187226,51,True
778,1857155595,54,True
788,1117834655,51,False
763,4180629195,48,True
785,963546574,141,True
786,3645271207,144,True
787,1092967218,119,True
792,2707652661,164,False
784,1392794871,118,True
790,3645271207,57,True
789,963546574,57,True
791,1092967218,104,True
793,1392794871,134,True
798,3002293990,134,False
799,3002293990,126,False
797,548040338,87,True
800,3462968175,69,False
795,2255605666,61,True
801,2255605666,162,False
796,1392794871,114,True
794,1770104492,74,True
806,2255605666,92,False
803,1392794871,46,True
805,1770104492,160,True
802,2116405573,103,True
804,1456731895,46,True
812,2490612622,81,False
808,1770104492,96,True
807,1784734157,122,True
809,2116405573,146,True
810,1456731895,165,True
814,1456731895,158,False
811,2490612622,61,True
813,2116405573,90,True
816,2116405573,151,True
815,2490612622,145,True
818,2116405573,170,False
819,2490612622,68,False
831,1268651055,55,False
817,1745251813,177,True
821,1745251813,179,True
824,3399583669,99,True
837,3399583669,103,False
840,2074838041,178,False
841,1617680014,131,True
847,3343250261,55,True
856,4028272472,110,True
858,4028272472,109,True
820,2116405573,136,True
825,4180629195,85,True
823,3563633237,80,True
833,1617680014,176,True
829,3399583669,72,True
839,2074838041,62,False
844,2649590424,131,False
846,3563633237,63,True
855,3343250261,144,True
859,869523693,146,True
872,1667429850,52,True
876,2293850146,82,True
875,3207343535,173,True
877,2531209764,126,True
822,3682110512,180,True
826,3682110512,73,False
827,1745251813,163,False
828,1617680014,56,True
835,1268651055,170,True
834,2806675022,86,True
830,3563633237,64,True
851,2846277224,62,False
853,889311512,139,True
864,1667429850,53,True
865,1667429850,113,False
866,3883592370,53,True
868,3883592370,61,True
871,1667429850,112,True
879,3207343535,68,True
880,3768488212,152,True
832,1268651055,73,True
836,1617680014,88,True
843,2649590424,85,True
850,353365200,127,True
863,3883592370,148,True
867,3399583669,145,True
878,2293850146,136,True
838,1617680014,84,True
842,2649590424,140,True
848,3343250261,76,False
845,2263150916,113,True
852,889311512,122,True
854,3343250261,160,False
849,3563633237,108,True
857,4028272472,116,False
860,1117834655,93,False
861,4028272472,154,True
862,869523693,82,True
869,2734325824,178,True
870,2734325824,146,True
873,3618952834,64,False
874,3207343535,176,True
882,2849053562,108,False
881,4137815484,49,True
883,3768488212,125,True
884,2849053562,96,True
887,2849053562,106,False
885,4137815484,91,True
886,3768488212,68,True
888,2289992860,86,True
889,3351225820,95,True
891,3351225820,136,True
890,2289992860,71,True
892,3351225820,130,True
893,3351225820,122,True
895,2735080254,181,False
894,3351225820,174,True
896,3351225820,124,True
897,3351225820,56,False
898,1997757723,87,False
899,4112760474,64,True
900,4112760474,138,True
901,1092967218,162,True
902,2572784463,91,False
904,4071551238,94,True
905,4071551238,64,True
903,3575420112,113,True
906,4071551238,171,True
908,4071551238,47,True
907,3575420112,73,True
909,4071551238,51,True
910,3575420112,124,True
911,1876532193,120,False
912,1876532193,114,False
913,1876532193,168,False
914,1876532193,55,False
915,1876532193,177,False
916,1876532193,57,False
917,1876532193,180,False
918,1876532193,63,False
919,1876532193,48,False
920,1876532193,95,False
921,1876532193,110,False
922,1876532193,170,False
923,1876532193,71,False
924,1876532193,124,False
925,1876532193,166,False
926,1876532193,158,False
